time,open,high,low,close
1578002400,1529.108,1535.823,1528.035,1535.002
1578016800,1535.002,1543.906,1532.754,1541.524
1578031200,1541.524,1550.506,1540.26,1546.943
1578045600,1546.943,1551.544,1541,1546.372
1578060000,1546.372,1551.099,1544.194,1548.842
1578074400,1548.842,1553.537,1546.304,1552.394
1578261600,1552.394,1589.739,1552.394,1577.848
1578276000,1577.848,1579.558,1573.641,1575.011
1578290400,1575.011,1578.094,1570.352,1577.324
1578304800,1577.324,1579.346,1571.531,1574.392
1578319200,1574.392,1576.73,1560.938,1564.596
1578333600,1564.596,1568.547,1563.129,1565.916
1578348000,1565.916,1565.916,1556.628,1557.919
1578362400,1557.919,1563.081,1555.388,1562.576
1578376800,1562.576,1570.888,1562.45,1566.256
1578391200,1566.256,1569.605,1563.972,1568.243
1578405600,1568.243,1573.248,1565.664,1571.898
1578420000,1571.898,1577.392,1569.658,1574.282
1578434400,1574.282,1611.498,1573.868,1593.556
1578448800,1593.556,1595.391,1583.754,1594.57
1578463200,1594.57,1595.186,1579.343,1583.792
1578477600,1583.792,1584.876,1568.14,1576.825
1578492000,1576.825,1578.378,1552.766,1562.032
1578506400,1562.032,1562.345,1552.366,1556.43
1578520800,1556.43,1561.38,1553.873,1559.81
1578535200,1559.81,1560.903,1555.154,1555.4
1578549600,1555.4,1555.952,1540.256,1546.447
1578564000,1546.447,1556.584,1545.68,1549.916
1578578400,1549.916,1552.69,1544.924,1549.323
1578592800,1549.323,1555.13,1549.323,1552.426
1578607200,1552.426,1553.935,1547.586,1548.08
1578621600,1548.08,1549.371,1545.784,1548.462
1578636000,1548.462,1552.502,1546.336,1548.402
1578650400,1548.402,1556.663,1546.945,1548.764
1578664800,1548.764,1561.088,1547.862,1559.49
1578679200,1559.49,1563.182,1557.956,1562.212
1578866400,1562.212,1562.212,1554.382,1556.832
1578880800,1556.832,1557.633,1555.052,1555.218
1578895200,1555.218,1555.567,1546.578,1548.002
1578909600,1548.002,1556.181,1547.962,1554.754
1578924000,1554.754,1555.34,1548.763,1549.762
1578938400,1549.762,1550.545,1547.791,1548.03
1578952800,1548.03,1548.934,1536.016,1537.742
1578967200,1537.742,1540.604,1536.186,1538.001
1578981600,1538.001,1545.936,1536.436,1544.141
1578996000,1544.141,1546.783,1542.143,1544.172
1579010400,1544.172,1547.133,1541.044,1543.628
1579024800,1543.628,1548.906,1543.018,1546.423
1579039200,1546.423,1550.093,1546.07,1547.36
1579053600,1547.36,1553.396,1547.288,1553.291
1579068000,1553.291,1554.284,1550.386,1553.302
1579082400,1553.302,1554.997,1547.038,1554.997
1579096800,1554.997,1557.06,1548.808,1554.096
1579111200,1554.096,1558.21,1553.142,1556.248
1579125600,1556.248,1558.136,1554.982,1556.475
1579140000,1556.475,1557.171,1551.583,1551.788
1579154400,1551.788,1555.702,1551.694,1554.927
1579168800,1554.927,1557.542,1552.597,1554.331
1579183200,1554.331,1555.604,1548.099,1551.616
1579197600,1551.616,1554.196,1549.48,1552.474
1579212000,1552.474,1553.611,1549.465,1553.211
1579226400,1553.211,1556.996,1552.023,1555.699
1579240800,1555.699,1557.043,1554.19,1555.545
1579255200,1555.545,1560.784,1554.35,1555.493
1579269600,1555.493,1560.172,1554.142,1559.829
1579284000,1559.829,1561.298,1556.335,1557.304
1579471200,1557.304,1559.137,1556.458,1557.696
1579485600,1557.696,1562.299,1557.009,1561.953
1579500000,1561.953,1562.802,1559.364,1560.5
1579514400,1560.5,1560.986,1558.328,1560.417
1579528800,1560.417,1561.246,1559.403,1560.897
1579557600,1560.897,1568.064,1560.011,1566.707
1579572000,1566.707,1568.696,1564.668,1565.739
1579586400,1565.739,1567.222,1552.677,1555.947
1579600800,1555.947,1557.891,1550.822,1553.343
1579615200,1553.343,1558.806,1546.403,1557.132
1579629600,1557.132,1560.066,1554.477,1558.168
1579644000,1558.168,1559.293,1553.157,1554.775
1579658400,1554.775,1554.817,1550.281,1551.03
1579672800,1551.03,1558.05,1550.671,1557.156
1579687200,1557.156,1559.261,1554.675,1556.234
1579701600,1556.234,1559.056,1554.956,1557.83
1579716000,1557.83,1559.124,1556.437,1558.965
1579730400,1558.965,1563.818,1558.525,1559.996
1579744800,1559.996,1560.97,1555.923,1557.97
1579759200,1557.97,1558.191,1553.08,1554.362
1579773600,1554.362,1557.597,1551.987,1556.898
1579788000,1556.898,1567.888,1554.675,1567.328
1579802400,1567.328,1567.974,1560.364,1562.813
1579816800,1562.813,1563.302,1559.638,1561.934
1579831200,1561.934,1562.319,1559.434,1560.59
1579845600,1560.59,1561.508,1557.646,1561.334
1579860000,1561.334,1563.012,1556.629,1561.465
1579874400,1561.465,1575.929,1559.833,1571.728
1579888800,1571.728,1575.827,1569.604,1571.724
1580076000,1571.724,1588.632,1571.724,1581.204
1580090400,1581.204,1583.122,1578.05,1580.636
1580104800,1580.636,1583.6345,1575.934,1582.787
1580119200,1582.787,1586.344,1580.374,1581.456
1580133600,1581.456,1586.024,1578.17,1580.294
1580148000,1580.294,1583.34,1577.144,1581.937
1580162400,1581.937,1583.102,1580.172,1580.979
1580176800,1580.979,1582.274,1578.414,1579.236
1580191200,1579.236,1582.364,1576.931,1579.174
1580205600,1579.174,1580.782,1571.718,1575.036
1580220000,1575.036,1578.041,1567.166,1569.956
1580234400,1569.956,1571.855,1565.599,1567.322
1580248800,1567.322,1570.093,1563.561,1565.92
1580263200,1565.92,1567.196,1563.471,1567.128
1580277600,1567.128,1571.701,1566.182,1570.828
1580292000,1570.828,1572.506,1569.262,1569.82
1580306400,1569.82,1574.506,1567.909,1571.008
1580320800,1571.008,1578.036,1568.88,1576.896
1580335200,1576.896,1580.233,1575.275,1578.085
1580349600,1578.085,1580.884,1578.085,1578.25
1580364000,1578.25,1583.071,1577.074,1580.081
1580378400,1580.081,1581.917,1576.948,1578.779
1580392800,1578.779,1586.026,1572.39,1584.898
1580407200,1584.898,1585.748,1572.772,1574.296
1580421600,1574.296,1575.952,1571.061,1573.999
1580436000,1573.999,1574.08,1571.045,1572.472
1580450400,1572.472,1580.088,1572.472,1579.425
1580464800,1579.425,1582.244,1577.982,1579.466
1580479200,1579.466,1589.144,1578.522,1583.625
1580493600,1583.625,1590.55,1582.514,1589.975
1580680800,1589.975,1592.168,1582.292,1582.451
1580695200,1582.451,1584.019,1579.395,1579.78
1580709600,1579.78,1580.886,1573.512,1578.942
1580724000,1578.942,1581.245,1576.181,1578.494
1580738400,1578.494,1580.489,1569.661,1575.629
1580752800,1575.629,1578.586,1575.237,1576.731
1580767200,1576.731,1579.673,1573.877,1575.74
1580781600,1575.74,1577.783,1572.317,1572.728
1580796000,1572.728,1574.709,1565.516,1568.239
1580810400,1568.239,1571.656,1559.946,1560.05
1580824800,1560.05,1562.086,1549.15,1550.749
1580839200,1550.749,1555.427,1549.723,1552.917
1580853600,1552.917,1556.64,1552.199,1554.029
1580868000,1554.029,1560.848,1553.898,1559.548
1580882400,1559.548,1562.431,1547.5535,1548.756
1580896800,1548.756,1556.016,1548.712,1554.516
1580911200,1554.516,1559.638,1552.841,1557.79
1580925600,1557.79,1559.172,1556.136,1556.204
1580940000,1556.204,1558.01,1554.766,1557.06
1580954400,1557.06,1557.06,1552.556,1556.217
1580968800,1556.217,1564.07,1555.076,1562.287
1580983200,1562.287,1567.64,1562.287,1563.943
1580997600,1563.943,1568.34,1561.66,1565.339
1581012000,1565.339,1567.457,1564.879,1566.68
1581026400,1566.68,1569.195,1564.926,1567.543
1581040800,1567.543,1568.196,1564.934,1566.143
1581055200,1566.143,1568.591,1562.928,1568.136
1581069600,1568.136,1570.275,1560.463,1569.088
1581084000,1569.088,1574.121,1565.216,1569.148
1581098400,1569.148,1573.299,1569.097,1570.384
1581285600,1570.384,1576.687,1569.104,1571.448
1581300000,1571.448,1572.353,1568.096,1571.064
1581314400,1571.064,1575.276,1569.514,1574.343
1581328800,1574.343,1574.986,1571.461,1572.708
1581343200,1572.708,1577.056,1571.67,1576.525
1581357600,1576.525,1576.776,1571.838,1572.216
1581372000,1572.216,1572.978,1570.342,1570.602
1581386400,1570.602,1570.64,1566.999,1568.49
1581400800,1568.49,1570.065,1565.874,1568.666
1581415200,1568.666,1574.006,1567.354,1572.041
1581429600,1572.041,1574.098,1562.206,1565.836
1581444000,1565.836,1569.575,1565.429,1567.848
1581458400,1567.848,1568.64,1565.8155,1567.184
1581472800,1567.184,1568.449,1564.708,1565.522
1581487200,1565.522,1566.416,1561.984,1565.177
1581501600,1565.177,1567.754,1564.012,1566.867
1581516000,1566.867,1570.502,1563.614,1568.286
1581530400,1568.286,1569.333,1565.041,1565.846
1581544800,1565.846,1572.669,1565.674,1569.919
1581559200,1569.919,1574.881,1569.559,1574.208
1581573600,1574.208,1575.9,1572.363,1575.288
1581588000,1575.288,1577.61,1572.287,1575.278
1581602400,1575.278,1578.382,1571.93,1576.55
1581616800,1576.55,1577.269,1575.286,1576.088
1581631200,1576.088,1578.221,1574.831,1576.693
1581645600,1576.693,1576.814,1573.164,1575.1
1581660000,1575.1,1577.017,1574.009,1576.88
1581674400,1576.88,1580.55,1574.9775,1580.184
1581688800,1580.184,1583.824,1577.904,1583.68
1581703200,1583.68,1585.0805,1582.094,1583.846
1581890400,1583.846,1583.846,1580.54,1582.199
1581904800,1582.199,1583.286,1581.8654999999999,1582.591
1581919200,1582.591,1582.846,1578.935,1580.962
1581933600,1580.962,1581.851,1580.114,1581.7
1581948000,1581.7,1582.636,1580.819,1581.208
1581976800,1581.208,1587.131,1581.208,1585.567
1581991200,1585.567,1587.453,1585.401,1585.999
1582005600,1585.999,1589.253,1585.081,1588.759
1582020000,1588.759,1591.968,1586.476,1591.36
1582034400,1591.36,1605.131,1588.089,1601.571
1582048800,1601.571,1603.386,1600.062,1601.418
1582063200,1601.418,1604.863,1599.606,1602.77
1582077600,1602.77,1603.444,1600.274,1603.054
1582092000,1603.054,1609.582,1602.8595,1609.011
1582106400,1609.011,1611.327,1603.138,1603.399
1582120800,1603.399,1608.485,1602.444,1607.687
1582135200,1607.687,1612.982,1605.706,1611.686
1582149600,1611.686,1612.792,1606.0815,1609.298
1582164000,1609.298,1612.115,1608.577,1609.428
1582178400,1609.428,1610.943,1603.976,1609.105
1582192800,1609.105,1619.188,1608.727,1615.814
1582207200,1615.814,1623.7445,1613.7649999999999,1616.81
1582221600,1616.81,1621.099,1616.114,1619.617
1582236000,1619.617,1622.737,1619.034,1621.309
1582250400,1621.309,1628.808,1621.04,1628.284
1582264800,1628.284,1636.59,1627.754,1635.093
1582279200,1635.093,1645.598,1633.104,1643.081
1582293600,1643.081,1649.3405,1637.9895000000001,1643.961
1582308000,1643.961,1648.487,1642.719,1643.397
1582495200,1643.397,1681.315,1643.397,1661.782
1582509600,1661.782,1663.735,1659.019,1661.599
1582524000,1661.599,1689.384,1660.759,1682.733
1582538400,1682.733,1687.806,1672.479,1677.634
1582552800,1677.634,1684.336,1669.787,1674.608
1582567200,1674.608,1676.919,1650.886,1658.73
1582581600,1658.73,1663.786,1642.875,1655.293
1582596000,1655.293,1658.8265000000001,1646.027,1649.268
1582610400,1649.268,1655.566,1633.1715,1651.246
1582624800,1651.246,1657.237,1641.51,1650.579
1582639200,1650.579,1658.523,1643.165,1648.85
1582653600,1648.85,1653.694,1625.263,1634.872
1582668000,1634.872,1646.296,1634.571,1644.294
1582682400,1644.294,1646.1280000000002,1636.942,1643.725
1582696800,1643.725,1655.04,1642.628,1650.833
1582711200,1650.833,1650.833,1631.27,1632.278
1582725600,1632.278,1644.6485,1625.017,1640.246
1582740000,1640.246,1650.034,1636.202,1640.942
1582754400,1640.942,1650.4144999999999,1638.56,1649.518
1582768800,1649.518,1652.4685,1646.519,1652.33
1582783200,1652.33,1652.665,1641.403,1647.316
1582797600,1647.316,1654.293,1644.338,1651.86
1582812000,1651.86,1660.417,1638.262,1640.924
1582826400,1640.924,1647.431,1635.429,1644.62
1582840800,1644.62,1649.566,1640.0115,1642.526
1582855200,1642.526,1645.807,1628.714,1630.922
1582869600,1630.922,1641.378,1621.292,1627.784
1582884000,1627.784,1632.914,1618.19,1628.862
1582898400,1628.862,1629.342,1571.886,1583.79
1582912800,1583.79,1593.0230000000001,1563.038,1586.542
1583100000,1586.542,1606.656,1575.579,1595.71
1583114400,1595.71,1605.534,1591.012,1604.081
1583128800,1604.081,1610.541,1596.11,1609.167
1583143200,1609.167,1611.066,1592.53,1595.793
1583157600,1595.793,1601.831,1591.089,1598.475
1583172000,1598.475,1598.775,1584.1154999999999,1589.534
1583186400,1589.534,1600.322,1586.708,1597.45
1583200800,1597.45,1601.243,1595.338,1598.998
1583215200,1598.998,1599.493,1593.584,1597.17
1583229600,1597.17,1605.958,1596.67,1605.361
1583244000,1605.361,1649.314,1601.9095,1645.256
1583258400,1645.256,1647.549,1626.47,1640.886
1583272800,1640.886,1652.996,1637.86,1644.21
1583287200,1644.21,1646.304,1641.4395,1643.338
1583301600,1643.338,1644.605,1631.958,1639.824
1583316000,1639.824,1649.41,1637.102,1640.468
1583330400,1640.468,1646.824,1637.026,1642.095
1583344800,1642.095,1643.694,1633.966,1636.98
1583359200,1636.98,1640.924,1635.0955,1637.808
1583373600,1637.808,1640.861,1636.862,1638.632
1583388000,1638.632,1644.909,1637.233,1644.112
1583402400,1644.112,1656.5845,1643.966,1655.166
1583416800,1655.166,1667.426,1654.449,1667.074
1583431200,1667.074,1674.694,1665.132,1672.234
1583445600,1672.234,1676.598,1667.655,1670.728
1583460000,1670.728,1681.146,1667.714,1679.882
1583474400,1679.882,1686.02,1667.902,1684.519
1583488800,1684.519,1689.995,1668.5794999999998,1673.534
1583503200,1673.534,1687.2445,1642.351,1665.916
1583517600,1665.916,1692.252,1662.221,1674.062
1583701200,1674.062,1703.282,1674.062,1700.198
1583715600,1700.198,1703.22,1657.6239999999998,1662.681
1583730000,1662.681,1685.331,1659.7559999999999,1675.488
1583744400,1675.488,1681.7530000000002,1662.403,1677.7
1583758800,1677.7,1685.758,1661.865,1671.962
1583773200,1671.962,1681.63,1668.396,1680.082
1583787600,1680.082,1680.565,1662.534,1664.036
1583802000,1664.036,1671.434,1661.697,1664.912
1583816400,1664.912,1667.5185000000001,1649.4975,1661.574
1583830800,1661.574,1667.613,1655.93,1663.022
1583845200,1663.022,1666.0565000000001,1650.0529999999999,1654.208
1583859600,1654.208,1661.909,1641.718,1649.387
1583874000,1649.387,1659.417,1649.387,1657.248
1583888400,1657.248,1664.3885,1655.436,1662.886
1583902800,1662.886,1666.688,1656.485,1657.111
1583917200,1657.111,1671.3045,1656.563,1665.611
1583931600,1665.611,1667.119,1642.7395000000001,1645.112
1583946000,1645.112,1649.066,1633.1995000000002,1634.868
1583960400,1634.868,1648.21,1634.486,1647.426
1583974800,1647.426,1650.536,1631.026,1636.302
1583989200,1636.302,1645.594,1631.4415,1642.954
1584003600,1642.954,1645.068,1606.392,1610.407
1584018000,1610.407,1613.61,1560.84,1594.172
1584032400,1594.172,1609.8505,1566.187,1577.267
1584046800,1577.267,1584.593,1573.904,1579.559
1584061200,1579.559,1583.9985000000001,1551.455,1580.134